candidate_id,fold,row_type,max_depth,min_samples_leaf,min_samples_split,max_features,criterion,n_estimators,bootstrap,n_train_unique,n_train_augmented,n_val,train_accuracy,train_roc_auc,train_log_loss,train_brier,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_log_loss,val_brier,train_val_auc_gap,train_val_log_loss_gap,fit_seconds,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_recall_mean,val_f1_mean,train_log_loss_mean,train_roc_auc_mean,train_accuracy_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,mean_fit_seconds
random_006,3.0,fold,5.0,40,20,0.6,gini,400,True,4545.0,9090.0,1609.0,0.6292629262926293,0.6776951400347748,0.6497734929570765,0.22892761993702557,0.584213797389683,0.587192118226601,0.7044917257683215,0.6405158516926384,0.6261127067783323,0.6658765016575108,0.23675311823783196,0.05158243325644252,0.01610300870043424,2.729666000002908,,,,,,,,,,,,,,,,,
random_006,4.0,fold,5.0,40,20,0.6,gini,400,True,6154.0,12308.0,1608.0,0.6121221969450764,0.664629155210369,0.6519839672883192,0.23017151824748946,0.5951492537313433,0.6095820591233435,0.6905311778290993,0.6475365457498646,0.6300336771599137,0.6612037593558237,0.2346969426982828,0.034595478050455375,0.009219792067504451,3.590921300001355,,,,,,,,,,,,,,,,,
random_007,1.0,fold,7.0,5,10,sqrt,log_loss,400,True,1221.0,2442.0,1544.0,0.7493857493857494,0.8575742454077091,0.5846295088891593,0.19728014809961442,0.5926165803108808,0.604494382022472,0.660122699386503,0.6310850439882698,0.6193979482777483,0.6699061043454829,0.23861362304125916,0.2381762971299608,0.0852765954563236,0.9089493999999831,,,,,,,,,,,,,,,,,
random_007,2.0,fold,7.0,5,10,sqrt,log_loss,400,True,2765.0,5530.0,1780.0,0.6998191681735986,0.7910359047093741,0.6097201024325213,0.20960951542858033,0.5775280898876405,0.5917986952469712,0.6691253951527925,0.6280909990108803,0.5973974758406784,0.6755924034504859,0.24141924020460515,0.19363842886869576,0.0658723010179646,1.0367168000011588,,,,,,,,,,,,,,,,,
random_007,3.0,fold,7.0,5,10,sqrt,log_loss,400,True,4545.0,9090.0,1609.0,0.6756875687568756,0.7516014641068649,0.62727967124585,0.2180359298215483,0.5786202610316967,0.5833333333333334,0.6950354609929078,0.6343042071197411,0.6279880030612024,0.6657370684413463,0.23669196845923157,0.12361346104566251,0.038457397195496235,1.3453877000029024,,,,,,,,,,,,,,,,,
random_007,4.0,fold,7.0,5,10,sqrt,log_loss,400,True,6154.0,12308.0,1608.0,0.6556711082222945,0.7238742614034223,0.6333156557891171,0.2211936121960539,0.585820895522388,0.6014198782961461,0.684757505773672,0.6403887688984882,0.6281264978866181,0.6610357044567025,0.23473732997090024,0.09574776351680414,0.027720048667585373,1.7616390000002866,,,,,,,,,,,,,,,,,
random_008,1.0,fold,7.0,40,40,sqrt,log_loss,400,True,1221.0,2442.0,1544.0,0.6805896805896806,0.7553408140695385,0.6309791756416607,0.21951037881978858,0.5867875647668394,0.6,0.6515337423312884,0.6247058823529412,0.6194821042355694,0.6713139528740013,0.2392412570608386,0.13585870983396908,0.04033477723234058,0.9138506999988749,,,,,,,,,,,,,,,,,
random_008,2.0,fold,7.0,40,40,sqrt,log_loss,400,True,2765.0,5530.0,1780.0,0.6589511754068716,0.7313035484464057,0.6327326430253193,0.2206044669739071,0.5741573033707865,0.5885078776645042,0.6691253951527925,0.626232741617357,0.5942749287044821,0.6765407181078676,0.2418805840265803,0.1370286197419236,0.04380807508254836,1.0931586999977299,,,,,,,,,,,,,,,,,
random_008,3.0,fold,7.0,40,40,sqrt,log_loss,400,True,4545.0,9090.0,1609.0,0.6523652365236524,0.7096876717208583,0.6413079668420717,0.2247691300956269,0.5823492852703542,0.5878787878787879,0.6879432624113475,0.6339869281045751,0.626102637033732,0.6662083047162223,0.2369094656835419,0.0835850346871263,0.02490033787415058,1.3629230000005919,,,,,,,,,,,,,,,,,
random_008,4.0,fold,7.0,40,40,sqrt,log_loss,400,True,6154.0,12308.0,1608.0,0.6374715632109197,0.6954542153609005,0.6432546620789651,0.22589104041804792,0.5870646766169154,0.602020202020202,0.6882217090069284,0.6422413793103449,0.6278883922735508,0.66173462265464,0.23496972959594042,0.06756582308734971,0.018479960575674914,1.6472594999977446,,,,,,,,,,,,,,,,,
random_009,1.0,fold,7.0,40,40,0.25,log_loss,400,True,1221.0,2442.0,1544.0,0.6953316953316954,0.7737275105872198,0.6197736628456597,0.21416940289913136,0.5835492227979274,0.5970654627539503,0.649079754601227,0.6219870664315109,0.6145522482264132,0.6719557284561506,0.23958152308643127,0.1591752623608066,0.05218206561049088,0.917853599999944,,,,,,,,,,,,,,,,,
