candidate_id,fold,row_type,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,n_train_unique,n_train_augmented,best_iteration,effective_n_estimators,train_accuracy,train_roc_auc,train_log_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_log_loss,val_brier,train_val_auc_gap,abs_train_val_auc_gap,fit_seconds,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_accuracy_mean,val_precision_mean,val_recall_mean,val_f1_mean,train_roc_auc_mean,train_log_loss_mean,mean_abs_train_val_auc_gap,train_val_auc_gap_mean,best_iterations,median_effective_n_estimators,mean_fit_seconds
A5_more_sampling,4.0,fold,0.03,2,10,0.9,1.0,5.0,0.01,10.0,6154.0,12308.0,190.0,191.0,0.6075723106922327,0.642884903767101,0.659276850418214,0.5926616915422885,0.6064581231079718,0.6939953810623557,0.6472805600430802,0.637958859085052,0.6590626656210873,0.2335672378540039,0.004926044682048936,0.004926044682048936,0.3828813999934937,,,,,,,,,,,,,,,,
A6_depth3_strongly_regularized,1.0,fold,0.03,3,20,0.75,0.85,5.0,0.01,10.0,1221.0,2442.0,67.0,68.0,0.6560196560196561,0.70701049281148,0.6500040261047871,0.594559585492228,0.6070215175537939,0.6576687116564417,0.6313309776207303,0.6184511937522617,0.6727778021021096,0.23992754518985748,0.08855929905921833,0.08855929905921833,0.13055739999981597,,,,,,,,,,,,,,,,
A6_depth3_strongly_regularized,2.0,fold,0.03,3,20,0.75,0.85,5.0,0.01,10.0,2765.0,5530.0,334.0,335.0,0.6900542495479204,0.7531954403382974,0.613610253397832,0.5685393258426966,0.5854579792256847,0.6533192834562698,0.6175298804780877,0.5898184040709138,0.6809301635148507,0.24395237863063812,0.16337703626738365,0.16337703626738365,0.5074402000027476,,,,,,,,,,,,,,,,
A6_depth3_strongly_regularized,3.0,fold,0.03,3,20,0.75,0.85,5.0,0.01,10.0,4545.0,9090.0,77.0,78.0,0.6143014301430143,0.6513289274273868,0.6603285327422418,0.5954008701056557,0.5981873111782477,0.7021276595744681,0.6460032626427407,0.6269353274526024,0.6671184979181274,0.23727181553840637,0.024393599974784408,0.024393599974784408,0.18875499999558087,,,,,,,,,,,,,,,,
A6_depth3_strongly_regularized,4.0,fold,0.03,3,20,0.75,0.85,5.0,0.01,10.0,6154.0,12308.0,148.0,149.0,0.6129346766330842,0.6597820215773301,0.6526861429559911,0.5926616915422885,0.6077630234933605,0.687066974595843,0.6449864498644986,0.6402029655820671,0.6573713589677816,0.23281632363796234,0.019579055995262995,0.019579055995262995,0.36098829999536974,,,,,,,,,,,,,,,,
A7_depth4_controlled_check,1.0,fold,0.03,4,40,0.75,0.85,8.0,0.01,20.0,1221.0,2442.0,49.0,50.0,0.6093366093366094,0.6366048067326626,0.6725410965271255,0.5893782383419689,0.6058479532163743,0.6355828220858896,0.6203592814371257,0.6149469396685938,0.6763728126553767,0.24167495965957642,0.021657867064068803,0.021657867064068803,0.07752609999442939,,,,,,,,,,,,,,,,
A7_depth4_controlled_check,2.0,fold,0.03,4,40,0.75,0.85,8.0,0.01,20.0,2765.0,5530.0,107.0,108.0,0.6224231464737794,0.6647766133480421,0.6559085924905554,0.5769662921348314,0.5907407407407408,0.672286617492097,0.6288812222769837,0.5902945528829511,0.6785276406932261,0.24277088046073914,0.07448206046509098,0.07448206046509098,0.2248780000008992,,,,,,,,,,,,,,,,
A7_depth4_controlled_check,3.0,fold,0.03,4,40,0.75,0.85,8.0,0.01,20.0,4545.0,9090.0,48.0,49.0,0.6074807480748075,0.6502696783110504,0.66532992911904,0.5916718458669982,0.5957446808510638,0.6950354609929078,0.6415711947626841,0.6265611977109147,0.6704972730885047,0.2388279139995575,0.02370848060013575,0.02370848060013575,0.18167199999879813,,,,,,,,,,,,,,,,
A7_depth4_controlled_check,4.0,fold,0.03,4,40,0.75,0.85,8.0,0.01,20.0,6154.0,12308.0,322.0,323.0,0.6231719207019825,0.6676587064945612,0.6498622992711915,0.5939054726368159,0.60790273556231,0.6928406466512702,0.6475984889368591,0.6388786003747441,0.6577363332902835,0.23299641907215118,0.028780106119817073,0.028780106119817073,0.6030803999965428,,,,,,,,,,,,,,,,
local_001,1.0,fold,0.02,2,5,0.7,0.85,2.0,0.01,5.0,1221.0,2442.0,78.0,79.0,0.6208026208026208,0.6594853397351172,0.666116279792282,0.5848445595854922,0.6016355140186916,0.6319018404907976,0.6163973668461998,0.6166174354313414,0.674544599158565,0.24078810214996338,0.04286790430377585,0.04286790430377585,0.09716349999507656,,,,,,,,,,,,,,,,
