candidate_id,fold,row_type,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,unique_fold_train_matches,unique_inner_fit_matches,augmented_inner_fit_observations,inner_early_stop_matches,fold_validation_matches,best_iteration,effective_n_estimators,best_score_inner_early_stop,train_accuracy,train_roc_auc,train_log_loss,train_brier,train_f1,val_accuracy,val_roc_auc,val_log_loss,val_brier,val_f1,train_val_acc_gap,train_val_auc_gap,train_val_log_loss_gap,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_accuracy_std,val_f1_mean,val_f1_std,train_accuracy_mean,train_roc_auc_mean,train_val_acc_gap_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,median_effective_n_estimators
random_014,1.0,fold,0.05,2,10,1.0,1.0,0.1,0.01,5.0,1323.0,1091.0,2182.0,232.0,1325.0,128.0,129.0,0.6673748445665014,0.6196150320806599,0.6583697012754153,0.6566749657660715,0.23226957023143768,0.6278026905829597,0.5766037735849057,0.5958739418897278,0.6778202248995321,0.24241133034229279,0.6057624736472241,0.04301125849575427,0.06249575938568752,0.021145259133460548,,,,,,,,,,,,,,,,
random_014,2.0,fold,0.05,2,10,1.0,1.0,0.1,0.01,5.0,2648.0,2185.0,4370.0,463.0,1323.0,63.0,64.0,0.6756894817620065,0.6032036613272311,0.6418630705604065,0.6620629657917968,0.23482517898082733,0.6318471337579618,0.600151171579743,0.618546313668265,0.6666694734592975,0.23694421350955963,0.6571613739468568,0.003052489747488174,0.02331675689214152,0.004606507667500703,,,,,,,,,,,,,,,,
random_014,3.0,fold,0.05,2,10,1.0,1.0,0.1,0.01,5.0,3971.0,3275.0,6550.0,696.0,1323.0,114.0,115.0,0.6623031496573454,0.6100763358778626,0.6503007904431919,0.6558437102647099,0.23198319971561432,0.6599201065246338,0.6009070294784581,0.6327489626556017,0.6612987241955373,0.23450057208538055,0.6558018252933507,0.009169306399404498,0.017551827787590235,0.005455013930827368,,,,,,,,,,,,,,,,
random_014,4.0,fold,0.05,2,10,1.0,1.0,0.1,0.01,5.0,5294.0,4367.0,8734.0,927.0,1325.0,122.0,123.0,0.6635831923192888,0.6079688573391344,0.6469907157748084,0.6559120453792795,0.23203891515731812,0.6615262949782523,0.5984905660377359,0.629936584803413,0.6628489464689594,0.23521171510219574,0.6522875816993464,0.009478291301398545,0.01705413097139541,0.0069369010896799255,,,,,,,,,,,,,,,,
random_015,1.0,fold,0.05,2,20,1.0,0.6,2.0,0.1,1.0,1323.0,1091.0,2182.0,232.0,1325.0,65.0,66.0,0.6713937373253805,0.613198900091659,0.6412327886599682,0.6658767874859938,0.23660244047641754,0.6238859180035651,0.5864150943396227,0.6063029055136124,0.6751228519490929,0.2410881370306015,0.6204986149584487,0.026783805752036316,0.03492988314635581,0.009246064463099168,,,,,,,,,,,,,,,,
random_015,2.0,fold,0.05,2,20,1.0,0.6,2.0,0.1,1.0,2648.0,2185.0,4370.0,463.0,1323.0,69.0,70.0,0.6736842877277802,0.6073226544622425,0.6435174491631583,0.6610659352036338,0.23434768617153168,0.6323907455012854,0.5978835978835979,0.6192076066059806,0.6663275759313833,0.23679283261299133,0.6558861578266494,0.009439056578644633,0.02430984255717772,0.005261640727749484,,,,,,,,,,,,,,,,
random_015,3.0,fold,0.05,2,20,1.0,0.6,2.0,0.1,1.0,3971.0,3275.0,6550.0,696.0,1323.0,132.0,133.0,0.6647121078580961,0.6119083969465648,0.6543979385097374,0.6536836013598943,0.23099109530448914,0.6597054886211513,0.6024187452758881,0.6389764868603043,0.6580516769718765,0.2330373078584671,0.6602067183462532,0.009489651670676724,0.015421451649433093,0.0043680756119821584,,,,,,,,,,,,,,,,
random_015,4.0,fold,0.05,2,20,1.0,0.6,2.0,0.1,1.0,5294.0,4367.0,8734.0,927.0,1325.0,99.0,100.0,0.6634887044258745,0.6068239065720175,0.647706456746998,0.6560843916770845,0.23207925260066986,0.6614080063103924,0.600754716981132,0.6275383373688459,0.6638403357136721,0.23563352227210999,0.6544741998693664,0.0060691895908854265,0.020168119378152105,0.007755944036587525,,,,,,,,,,,,,,,,
random_016,1.0,fold,0.05,3,10,1.0,0.75,0.1,0.5,0.5,1323.0,1091.0,2182.0,232.0,1325.0,90.0,91.0,0.6739261053374102,0.6461961503208066,0.706163943299841,0.6388327023417274,0.22370275855064392,0.6756302521008404,0.5667924528301886,0.5913189201555709,0.6801428410306964,0.24356910586357117,0.6002785515320335,0.07940369749061793,0.11484502314427014,0.041310138688969045,,,,,,,,,,,,,,,,
random_016,2.0,fold,0.05,3,10,1.0,0.75,0.1,0.5,0.5,2648.0,2185.0,4370.0,463.0,1323.0,23.0,24.0,0.6781000042450865,0.6123569794050343,0.6525720634674426,0.664296474736562,0.23577867448329926,0.6378794356562634,0.6145124716553289,0.6228093947606143,0.666943007423889,0.23706883192062378,0.6722365038560412,-0.002155492250294544,0.02976266870682831,0.0026465326873270634,,,,,,,,,,,,,,,,
random_016,3.0,fold,0.05,3,10,1.0,0.75,0.1,0.5,0.5,3971.0,3275.0,6550.0,696.0,1323.0,61.0,62.0,0.6659739765113798,0.6137404580152672,0.6631361055165816,0.6510323557448315,0.22967106103897095,0.6538987688098495,0.6054421768707483,0.631160673121254,0.6634100845324991,0.2354825884103775,0.6515353805073432,0.008298281144518915,0.03197543239532763,0.012377728787667519,,,,,,,,,,,,,,,,
