lambda,fold,row_type,unique_fold_train_matches,augmented_fold_train_observations,fold_validation_matches,iterations_run,converged,converged_by,initial_cost,final_cost,relative_cost_decrease,final_relative_improvement,final_gradient_norm,train_accuracy,train_roc_auc,train_log_loss,train_brier,train_f1,val_accuracy,val_roc_auc,val_log_loss,val_brier,val_f1,train_val_acc_gap,train_val_auc_gap,train_val_log_loss_gap,coef_l2_norm,coef_abs_sum,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_f1_mean,train_accuracy_mean,train_roc_auc_mean,train_val_acc_gap_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,mean_iterations,median_iterations,all_folds_converged,n_folds_converged,mean_final_gradient_norm,mean_coef_l2_norm
5.0,1.0,fold,1323.0,2646.0,1325.0,20000.0,False,,0.6928768732240179,0.6742975763964176,0.026814716359559187,7.957044802248536e-07,0.0007310477455124693,0.5842781557067271,0.6095762789841738,0.674154068617498,0.24058176043852827,0.6283783783783784,0.5645283018867925,0.5903752001830245,0.691695758429519,0.2478980263815894,0.6114478114478115,0.01974985381993466,0.019201078801149296,0.017541689812020977,0.3897289227250574,1.0955843022388039,,,,,,,,,,,,,,,,,,,
5.0,2.0,fold,2648.0,5296.0,1323.0,20000.0,False,,0.6927446160865905,0.6720526920156222,0.029869483775795812,5.900783972981655e-07,0.0006285497413123463,0.5789274924471299,0.611504163416984,0.6719679991953494,0.23959001802356017,0.6219057307561885,0.6016628873771731,0.6253063257128297,0.6629828886342584,0.23521353286787794,0.6653968253968254,-0.022735394930043173,-0.013802162295845744,-0.00898511056109108,0.42357203692681833,1.0207990623382535,,,,,,,,,,,,,,,,,,,
5.0,3.0,fold,3971.0,7942.0,1323.0,20000.0,False,,0.6927070407196426,0.6679734249085089,0.03570573757333026,8.062787136788018e-07,0.000732587238165782,0.588264920674893,0.6190108561020782,0.6679028189263531,0.23766358366773924,0.6372309740403816,0.6009070294784581,0.6254207007837713,0.668108208471987,0.23740730644228727,0.6584734799482536,-0.012642108803565089,-0.006409844681693144,0.0002053895456339827,0.4736043539833889,1.0481835336415106,,,,,,,,,,,,,,,,,,,
5.0,4.0,fold,5294.0,10588.0,1325.0,11300.0,True,relative_cost_plateau,0.692703670278583,0.6663601619765677,0.03802998227426869,9.474133863507145e-08,0.00024990871047472356,0.5931242916509256,0.620999897437417,0.6663112718916939,0.23699301454806268,0.6427860696517413,0.6075471698113207,0.6354018217456474,0.6614050059942667,0.23449506123930372,0.6578947368421053,-0.014422878160395114,-0.014401924308230396,-0.004906265897427264,0.4550376769632632,0.9108861574703949,,,,,,,,,,,,,,,,,,,
10.0,1.0,fold,1323.0,2646.0,1325.0,20000.0,False,,0.6928768757920468,0.6744529124532053,0.02659052998093003,3.741566732688402e-07,0.0005008793430442013,0.5865457294028723,0.6098155134339345,0.6741970004243583,0.24060214476169786,0.6311530681051922,0.5660377358490566,0.5909494394875314,0.6912733614876834,0.24772415376081036,0.612272420768712,0.020507993553815718,0.01886607394640305,0.017076361063325107,0.36800631199180983,1.0258125377381444,,,,,,,,,,,,,,,,,,,
10.0,2.0,fold,2648.0,5296.0,1323.0,20000.0,False,,0.6927446179987922,0.6721434519536447,0.029738471450937234,4.046930711219278e-07,0.0005203199312893993,0.5808157099697885,0.6116572808184613,0.6719838266929141,0.23959866904713312,0.6239837398373984,0.6031746031746031,0.6253341208625761,0.6629402671246538,0.23520064082207295,0.6670894102726697,-0.022358893204814656,-0.013676840044114846,-0.009043559568260306,0.4111873978683403,0.9799457679018222,,,,,,,,,,,,,,,,,,,
10.0,3.0,fold,3971.0,7942.0,1323.0,20000.0,False,,0.6927070421135225,0.6680506493190009,0.0355942574501514,6.269504630480372e-07,0.0006458336492591001,0.5885167464114832,0.6190231246169284,0.6679142971067689,0.23766971111918805,0.6373723923657346,0.6009070294784581,0.6254276164130936,0.6680076357707976,0.23736649686416786,0.6580310880829016,-0.012390283066974872,-0.0064044917961652015,9.333866402871926e-05,0.4653835556929064,1.0281587730167319,,,,,,,,,,,,,,,,,,,
10.0,4.0,fold,5294.0,10588.0,1325.0,10900.0,True,relative_cost_plateau,0.6927036713319028,0.6664094326425202,0.03795885568041689,9.375866368793493e-08,0.00024836825989246167,0.5929353985644126,0.6209869512488253,0.6663129002439765,0.2369937455070537,0.6424423427907748,0.6052830188679246,0.6353464775740805,0.6613564813768902,0.2344766647610005,0.6561472715318869,-0.012347620303511997,-0.014359526325255167,-0.00495641886708631,0.4521249906345578,0.9019410117750724,,,,,,,,,,,,,,,,,,,
25.0,1.0,fold,1323.0,2646.0,1325.0,16100.0,True,relative_cost_plateau,0.6928768834961332,0.674814276329427,0.026068999553810285,9.542202902853317e-08,0.00025228808656440336,0.5842781557067271,0.609412955465587,0.674313939666864,0.24065871035612824,0.629878869448183,0.5683018867924529,0.5919400594829559,0.6901358240434127,0.24726317235055204,0.6145552560646901,0.015976268914274283,0.01747289598263113,0.015821884376548634,0.32544010928487044,0.8704312073695347,,,,,,,,,,,,,,,,,,,
25.0,2.0,fold,2648.0,5296.0,1323.0,20000.0,False,,0.6927446237353968,0.6723794039730674,0.02939787486551203,1.3056609389418587e-07,0.00029517468894371977,0.5804380664652568,0.6114709019589852,0.6720365870545407,0.23962678825049233,0.6235174517112844,0.6016628873771731,0.625132606026915,0.6628528142214842,0.23517793672757512,0.6658211794546608,-0.021224820911916353,-0.01366170406792977,-0.009183772833056492,0.38110979000985523,0.8788418601883496,,,,,,,,,,,,,,,,,,,
