canonical_model_name,display_name,stage,record,count,unconditional_probability,unconditional_mc_standard_error,unconditional_mc_ci95_low,unconditional_mc_ci95_high,conditional_on_participating_probability,conditional_on_participating_denominator,conditional_mc_standard_error,conditional_mc_ci95_low,conditional_mc_ci95_high
BIG,BIG,stage_1,3-0,10642,0.21284,0.0018305143233528656,0.20925219192622838,0.21642780807377163,0.21284,50000,0.0018305143233528656,0.20925219192622838,0.21642780807377163
BIG,BIG,stage_1,3-1,14043,0.28086,0.0020098639774870338,0.2769206666041254,0.2847993333958746,0.28086,50000,0.0020098639774870338,0.2769206666041254,0.2847993333958746
BIG,BIG,stage_1,3-2,11182,0.22364,0.0018634653224570614,0.21998760796798417,0.22729239203201584,0.22364,50000,0.0018634653224570614,0.21998760796798417,0.22729239203201584
BIG,BIG,stage_1,2-3,6736,0.13472,0.0015268956847145781,0.13172728445795942,0.1377127155420406,0.13472,50000,0.0015268956847145781,0.13172728445795942,0.1377127155420406
BIG,BIG,stage_1,1-3,5060,0.1012,0.0013487665476278688,0.09855641756664937,0.10384358243335062,0.1012,50000,0.0013487665476278688,0.09855641756664937,0.10384358243335062
BIG,BIG,stage_1,0-3,2337,0.04674,0.0009439848769975077,0.04488978964108488,0.048590210358915115,0.04674,50000,0.0009439848769975077,0.04488978964108488,0.048590210358915115
BIG,BIG,stage_2,3-0,4008,0.08016,0.0012143671141792336,0.0777798404562087,0.08254015954379129,0.1117461733627011,35867,0.0016635557018923096,0.10848560418699217,0.11500674253841002
BIG,BIG,stage_2,3-1,7541,0.15082,0.001600458231882357,0.1476831018655106,0.15395689813448943,0.2102489753812697,35867,0.0021516147687093536,0.20603181043459937,0.21446614032794
BIG,BIG,stage_2,3-2,8190,0.1638,0.001655110630743456,0.16055598316374284,0.16704401683625716,0.22834360275462123,35867,0.002216454796854058,0.22399935135278728,0.23268785415645518
BIG,BIG,stage_2,2-3,6549,0.13098,0.0015088024363713098,0.12802274722471224,0.13393725277528779,0.18259123985836562,35867,0.002039915069717236,0.17859300632171984,0.1865894733950114
BIG,BIG,stage_2,1-3,6005,0.1201,0.001453794964910802,0.11725056186877483,0.12294943813122516,0.16742409457161178,35867,0.001971393735916117,0.16356016284921618,0.17128802629400738
