canonical_model_name,display_name,playoff_seed,count,unconditional_probability,unconditional_mc_standard_error,conditional_on_reaching_playoffs_probability,conditional_on_reaching_playoffs_denominator,conditional_mc_standard_error,conditional_mc_ci95_low,conditional_mc_ci95_high
NRG Esports,NRG,1,12,0.00024,6.927371795998825e-05,0.06382978723404255,188,0.01782831024673175,0.028886299150448318,0.09877327531763677
NRG Esports,NRG,2,12,0.00024,6.927371795998825e-05,0.06382978723404255,188,0.01782831024673175,0.028886299150448318,0.09877327531763677
NRG Esports,NRG,3,15,0.0003,7.744804710255772e-05,0.0797872340425532,188,0.01976204606062048,0.04105362376373706,0.11852084432136933
NRG Esports,NRG,4,14,0.00028,7.482267036132832e-05,0.07446808510638298,188,0.019147049854277516,0.036939867391999046,0.1119963028207669
NRG Esports,NRG,5,24,0.00048,9.795607178730678e-05,0.1276595744680851,188,0.02433832975557329,0.07995644814716145,0.17536270078900873
NRG Esports,NRG,6,39,0.00078,0.00012485123948123222,0.2074468085106383,188,0.029572542446534223,0.14948462531543122,0.26540899170584537
NRG Esports,NRG,7,36,0.00072,0.00011995679222119938,0.19148936170212766,188,0.028696984982954424,0.135243271135537,0.24773545226871832
NRG Esports,NRG,8,36,0.00072,0.00011995679222119938,0.19148936170212766,188,0.028696984982954424,0.135243271135537,0.24773545226871832
TYLOO,TYLOO,1,79,0.00158,0.00017762339935943123,0.06752136752136752,1170,0.007335794018944798,0.05314321124423571,0.08189952379849932
TYLOO,TYLOO,2,65,0.0013,0.00016114031153004513,0.05555555555555555,1170,0.006696671950736842,0.042430078532111344,0.06868103257899977
TYLOO,TYLOO,3,156,0.00312,0.0002494099276291944,0.13333333333333333,1170,0.009938079899999066,0.11385469672933517,0.1528119699373315
TYLOO,TYLOO,4,118,0.00236,0.00021699909677231377,0.10085470085470086,1170,0.008803798236746546,0.08359925631067763,0.11811014539872408
TYLOO,TYLOO,5,128,0.00256,0.00022598435344067517,0.1094017094017094,1170,0.009125571068967718,0.09151559010653268,0.12728782869688612
TYLOO,TYLOO,6,193,0.00386,0.0002773121129702055,0.16495726495726495,1170,0.010850434852646435,0.14369041264607793,0.18622411726845198
TYLOO,TYLOO,7,195,0.0039,0.00027873966348548245,0.16666666666666666,1170,0.010895340841010225,0.1453117986182866,0.1880215347150467
TYLOO,TYLOO,8,236,0.00472,0.0003065198721127229,0.20170940170940171,1170,0.011731421718237848,0.17871581514165552,0.2247029882771479
Sharks Esports,Sharks Esports,1,64,0.00128,0.0001598975672110117,0.08010012515644556,799,0.009603145025247149,0.06127796090696115,0.09892228940592997
Sharks Esports,Sharks Esports,2,39,0.00078,0.00012485123948123222,0.04881101376720901,799,0.007622877324288997,0.03387017421160258,0.06375185332281544
Sharks Esports,Sharks Esports,3,94,0.00188,0.000193724835785193,0.11764705882352941,799,0.01139825362497484,0.09530648171857872,0.1399876359284801
Sharks Esports,Sharks Esports,4,87,0.00174,0.00018638521400583257,0.10888610763454318,799,0.011019945689620255,0.08728701408288747,0.13048520118619888
