stage,round,best_of,team_a,team_b,times_matchup_occurred,fraction_of_simulations,model_probability_team_a,team_a_win_count,team_b_win_count
playoffs,1,3,B8 Esports,Team Vitality,169,0.00338,0.2787167213878756,54,115
playoffs,1,3,B8 Esports,The Mongolz,153,0.00306,0.41242402262707784,63,90
playoffs,1,3,B8 Esports,paiN Gaming,39,0.00078,0.550664762974193,23,16
playoffs,1,3,BIG,9z Team,57,0.00114,0.6274798443135923,30,27
playoffs,1,3,BIG,Astralis,98,0.00196,0.48066093134432397,45,53
playoffs,1,3,BIG,Aurora Gaming,205,0.0041,0.5064104573329625,121,84
playoffs,1,3,BIG,B8 Esports,32,0.00064,0.5941195636317336,21,11
playoffs,1,3,BIG,BetBoom Team,115,0.0023,0.47266987426300794,53,62
playoffs,1,3,BIG,FURIA Esports,204,0.00408,0.4493559006907222,94,110
playoffs,1,3,BIG,FUT Esports,92,0.00184,0.5025490798655118,46,46
playoffs,1,3,BIG,FlyQuest,22,0.00044,0.6098814180875805,12,10
playoffs,1,3,BIG,G2 Esports,125,0.0025,0.42198319201159346,60,65
playoffs,1,3,BIG,Gaimin Gladiators,2,4e-05,0.7263709758518141,2,0
playoffs,1,3,BIG,GamerLegion,76,0.00152,0.48031114120964247,35,41
playoffs,1,3,BIG,Heroic,24,0.00048,0.6400809721971142,16,8
playoffs,1,3,BIG,Legacy,115,0.0023,0.4710578483100436,54,61
playoffs,1,3,BIG,Lynn Vision Gaming,3,6e-05,0.6697086806965324,2,1
playoffs,1,3,BIG,M80,12,0.00024,0.6373067990926312,6,6
playoffs,1,3,BIG,MIBR,28,0.00056,0.580898718828693,18,10
playoffs,1,3,BIG,MOUZ,274,0.00548,0.3786781569513944,111,163
playoffs,1,3,BIG,Monte,69,0.00138,0.62005167305921,42,27
playoffs,1,3,BIG,NRG Esports,4,8e-05,0.7671825316272709,4,0
playoffs,1,3,BIG,Natus Vincere,296,0.00592,0.31107774219869105,88,208
playoffs,1,3,BIG,PARIVISION,190,0.0038,0.5572931440202049,108,82
