state_type,match_id,deployment_history_status,eligible_for_state,consumed_by_state,eligibility_reason
form,729099,included,True,True,both sides identity-eligible: both histories updated
form,729100,included,True,True,both sides identity-eligible: both histories updated
form,729298,included,True,True,both sides identity-eligible: both histories updated
form,729299,included,True,True,both sides identity-eligible: both histories updated
form,729300,included,True,True,both sides identity-eligible: both histories updated
form,729301,included,True,True,both sides identity-eligible: both histories updated
form,729553,included,True,True,both sides identity-eligible: both histories updated
form,729554,included,True,True,both sides identity-eligible: both histories updated
form,729555,included,True,True,both sides identity-eligible: both histories updated
form,729673,included,True,True,both sides identity-eligible: both histories updated
form,729674,included,True,True,both sides identity-eligible: both histories updated
form,729675,included,True,True,both sides identity-eligible: both histories updated
form,729783,included,True,True,both sides identity-eligible: both histories updated
form,731974,included,True,True,both sides identity-eligible: both histories updated
form,732062,included,True,True,both sides identity-eligible: both histories updated
form,733242,included,True,True,both sides identity-eligible: both histories updated
form,733305,included,True,True,both sides identity-eligible: both histories updated
form,733533,included,True,True,both sides identity-eligible: both histories updated
form,733782,included,True,True,both sides identity-eligible: both histories updated
form,733929,included,True,True,both sides identity-eligible: both histories updated
form,734026,included,True,True,both sides identity-eligible: both histories updated
form,734771,included,True,True,both sides identity-eligible: both histories updated
form,734773,included,True,True,both sides identity-eligible: both histories updated
form,735354,included,True,True,both sides identity-eligible: both histories updated
form,735426,included,True,True,both sides identity-eligible: both histories updated
form,735864,included,True,True,both sides identity-eligible: both histories updated
form,738803,included,True,True,both sides identity-eligible: both histories updated
form,738902,included,True,True,both sides identity-eligible: both histories updated
form,739218,included,True,True,both sides identity-eligible: both histories updated
form,739488,included,True,True,both sides identity-eligible: both histories updated
form,741744,included,True,True,both sides identity-eligible: both histories updated
form,743205,included,True,True,both sides identity-eligible: both histories updated
form,743206,included,True,True,both sides identity-eligible: both histories updated
form,743697,included,True,True,both sides identity-eligible: both histories updated
form,743698,included,True,True,both sides identity-eligible: both histories updated
form,745398,included,True,True,both sides identity-eligible: both histories updated
form,745730,included,True,True,both sides identity-eligible: both histories updated
form,746971,included,True,True,both sides identity-eligible: both histories updated
form,747276,included,True,True,both sides identity-eligible: both histories updated
form,747511,included,True,True,both sides identity-eligible: both histories updated
form,747512,included,True,True,both sides identity-eligible: both histories updated
form,748298,included,True,True,both sides identity-eligible: both histories updated
form,749339,included,True,True,both sides identity-eligible: both histories updated
form,749416,included,True,True,both sides identity-eligible: both histories updated
form,749769,included,True,True,both sides identity-eligible: both histories updated
form,749770,included,True,True,both sides identity-eligible: both histories updated
form,751439,included,True,True,both sides identity-eligible: both histories updated
form,759391,included,True,True,both sides identity-eligible: both histories updated
form,759392,included,True,True,both sides identity-eligible: both histories updated
form,759393,included,True,True,team1_not_identity_eligible - only the eligible side's own history updated
form,762276,included,True,True,both sides identity-eligible: both histories updated
form,762527,included,True,True,both sides identity-eligible: both histories updated
form,762528,included,True,True,both sides identity-eligible: both histories updated
form,763322,included,True,True,both sides identity-eligible: both histories updated
form,764514,included,True,True,both sides identity-eligible: both histories updated
form,765392,included,True,True,both sides identity-eligible: both histories updated
form,778713,included,True,True,both sides identity-eligible: both histories updated
form,778715,included,True,True,both sides identity-eligible: both histories updated
form,778716,included,True,True,both sides identity-eligible: both histories updated
form,778717,included,True,True,both sides identity-eligible: both histories updated
form,778766,included,True,True,both sides identity-eligible: both histories updated
form,780410,included,True,True,both sides identity-eligible: both histories updated
form,780411,included,True,True,both sides identity-eligible: both histories updated
form,780412,included,True,True,both sides identity-eligible: both histories updated
form,780413,included,True,True,both sides identity-eligible: both histories updated
form,780414,included,True,True,both sides identity-eligible: both histories updated
form,780415,included,True,True,both sides identity-eligible: both histories updated
form,780416,included,True,True,both sides identity-eligible: both histories updated
form,780417,included,True,True,both sides identity-eligible: both histories updated
form,781003,included,True,True,both sides identity-eligible: both histories updated
form,781057,included,True,True,both sides identity-eligible: both histories updated
form,781060,included,True,True,both sides identity-eligible: both histories updated
form,781520,included,True,True,both sides identity-eligible: both histories updated
form,781521,included,True,True,both sides identity-eligible: both histories updated
form,787187,included,True,True,both sides identity-eligible: both histories updated
form,787188,included,True,True,both sides identity-eligible: both histories updated
form,787190,included,True,True,both sides identity-eligible: both histories updated
form,787191,included,True,True,both sides identity-eligible: both histories updated
form,787192,included,True,True,both sides identity-eligible: both histories updated
form,787377,included,True,True,both sides identity-eligible: both histories updated
form,787378,included,True,True,both sides identity-eligible: both histories updated
