team_id,team_name
269224,paiN Gaming
269212,FaZe Clan
269206,Team Vitality
269208,MOUZ
269210,Team Spirit
269054,Team Falcons
269052,The Mongolz
269050,MOUZ
269048,The Mongolz
269046,Team Falcons
269044,Natus Vincere
269042,Team Vitality
269038,MOUZ
269040,FaZe Clan
269036,Team Liquid
269034,Natus Vincere
269030,FaZe Clan
269032,GamerLegion
269024,SAW
269028,Team Falcons
269022,FlyQuest
269026,Team Vitality
269014,BIG
269020,FaZe Clan
269016,paiN Gaming
269018,MOUZ
268568,Team Falcons
268570,MIBR
268564,Team Vitality
268566,Virtus.pro
268556,MOUZ
268558,Team 3DMAX
268560,FaZe Clan
268562,Complexity
269006,BLUEJAYS
269012,BESTIA
269004,Getting Info
269010,Legacy
269002,BLUEJAYS
269008,Sharks Esports
268934,Astralis
268932,ENCE
268724,Eruption
268730,TYLOO
268720,Chinggis Warriors
268738,FlyQuest
268734,SemperFi
268744,Wildcard Gaming
268752,Fluxo
268746,Marsborne
268754,BESTIA
268740,Complexity
268748,Imperial Esports
268742,Getting Info
268860,9Pandas
268786,Astralis
268790,SAW
268750,ODDIK
268728,Rare Atom
268718,The Huns Esports
268772,Metizport
268776,Nemiga Gaming
268774,9Pandas
268726,Lynn Vision Gaming
268722,Chinggis Warriors
268780,BCGame
268782,ENCE
268778,SAW
268732,ex-TALON
268736,SemperFi
268290,NRG Esports
268298,Legacy
268288,Wildcard Gaming
268296,Fluxo
268286,BLUEJAYS
268294,Sharks Esports
268284,Complexity
268292,Imperial Esports
268758,Heroic
268756,OG
268764,Astralis
268766,9Pandas
268306,TYLOO
268762,BetBoom Team
268760,BCGame
268302,Eruption
268304,Rare Atom
268300,The Huns Esports
268770,B8 Esports
268768,GamerLegion
268310,FlyQuest
268308,SemperFi
268714,Nemiga Gaming
268716,GamerLegion
268712,Astralis
268710,OG
268708,SAW
268706,BCGame
268704,BIG
268702,Heroic
268268,Astralis
268270,GamerLegion
268274,BCGame
268272,SAW
268276,Heroic
268278,BIG
268280,500
268282,B8 Esports
268250,G2 Esports
268248,Complexity
268434,G2 Esports
268436,Team Falcons
268426,G2 Esports
268428,Aurora Gaming
268432,FaZe Clan
268430,GamerLegion
268364,Team Falcons
268362,Betclic
268360,Astralis
268322,FURIA Esports
268316,Aurora Gaming
268320,Rare Atom
268314,Complexity
268318,Astralis
268312,GamerLegion
268266,The Mongolz
268254,Aurora Gaming
268264,Team Falcons
268252,G2 Esports
268262,Rare Atom
268260,FURIA Esports
268256,Astralis
268258,GamerLegion
